,Label
0,Miami Undergraduate Student
1,Miami Graduate Student
2,Miami Faculty/Unclassif'd Staff
3,Miami Staff-Classified
4,Middletown Community Borrower
5,GCLC Member
6,Interlibrary Loan
7,Miami Emeriti
8,MU Community Patron (defunct)
9,
10,OhioLINK Faculty/Staff
11,OhioLINK Student
12,Oxford Friends of the Library
13,Workshop Participants
14,Honors/Western students
15,Reserve Recall
16,OLINK Distant Learner
17,Test Patron
18,Reserve Recall
19,Hamilton Community Borrower
20,test patron rifraff
21,test patronhighbrow
22,Honors / Scholars 2014/15
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,test patron
47,
48,
,
,Page 1
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,
105,
106,
,
,Page 2
107,
108,
109,
110,
111,
112,
113,
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
142,
143,
144,
145,
146,
147,
148,
149,
150,
151,
152,
153,
154,
155,
156,
157,
158,
159,
160,
161,
162,
163,
164,
,
,Page 3
165,
166,
167,
168,
169,
170,
171,
172,
173,
174,
175,
176,
177,
178,
179,
180,
181,
182,
183,
184,
185,
186,
187,
188,
189,
190,
191,
192,
193,
194,
195,
196,
197,
198,
199,
200,OhioLINK Undergrad
201,OhioLINK Graduate
202,OhioLINK Faculty
203,OhioLINK Staff
204,OhioLINK Courtesy/Permit
205,OhioLINK Affiliated Fac/Staff
206,OhioLINK Locally Restricted
207,
208,
209,
210,OhioLINK Test Patron (Circ OK)
211,OhioLINK Test Patron (Non-circ)
212,OHIOLINK Public Adult
213,OHIOLINK Public Juvenile
214,OHIOLINK Public Teen
215,OHIOLINK Public Senior
216,OHIOLINK HS Student
217,OHIOLINK HS Staff
218,
219,
220,Undergraduate
221,Graduate
222,Faculty
,
,Page 4
223,Staff
224,
225,
226,
227,
228,
229,
230,OHPIR Testing Patron
231,OHPIR General
232,OHPIR Limited
233,OHPIR Visiting
234,OHPIR ineligible
235,OHPIR No Media
236,
237,
238,
239,
240,
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,
252,
253,
254,
255,
